Core Number,L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),BCE,試行数,平均(正規化),標準偏差(正規化),スコア
16,8,4,1024,32,2,112,4,1.0012888919805447,0.0022744995807986727,1.0035633915613433
16,8,4,1024,64,3,112,4,1.002537635670035,0.0019843178454940105,1.004521953515529
16,8,4,1024,16,2,112,4,1.003898592529276,0.005451086147262559,1.0093496786765386
16,8,4,1024,8,2,112,4,1.0047545745701547,0.004671260101307355,1.009425834671462
16,8,4,1024,2,2,112,4,1.0151836387872548,0.0172728559629985,1.0324564947502533
16,8,4,1024,4,2,112,4,1.014042398918654,0.01887414467335838,1.0329165435920125
16,8,2,1024,32,2,112,4,1.01665985299427,0.017959179447392025,1.0346190324416622
16,8,2,1024,64,3,112,4,1.0177878948084726,0.01755346411421619,1.0353413589226887
16,8,2,1024,8,2,112,4,1.0199037024156161,0.0156873642952664,1.0355910667108825
16,8,2,1024,16,2,112,4,1.0189218771157416,0.017106792066167744,1.0360286691819094
16,8,2,1024,2,2,112,4,1.0290077490128857,0.016888195677838124,1.0458959446907239
16,8,2,1024,4,2,112,4,1.0290800898011345,0.01829888309362133,1.0473789728947558
8,8,2,1024,2,2,72,1,1.2608710340957912,,
8,8,2,1024,4,2,72,1,1.249042899628964,,
8,8,2,1024,8,2,72,1,1.246624276310822,,
8,8,2,1024,16,2,72,1,1.245854057533684,,
8,8,2,1024,32,2,72,1,1.2445753457945485,,
8,8,2,1024,64,3,72,1,1.2515860767564886,,
8,8,2,2048,2,3,104,1,1.246972701346219,,
8,8,2,2048,4,3,104,1,1.23865649585767,,
8,8,2,2048,8,3,104,1,1.2368954433861215,,
8,8,2,2048,16,3,104,1,1.2373757489255708,,
8,8,2,2048,32,3,104,1,1.2364424094323867,,
8,8,2,2048,64,3,104,1,1.2365444743595198,,
8,8,4,1024,2,2,72,1,1.2519977962930589,,
8,8,4,1024,4,2,72,1,1.2403747075173313,,
8,8,4,1024,8,2,72,1,1.238882300517,,
8,8,4,1024,16,2,72,1,1.2377715939570237,,
8,8,4,1024,32,2,72,1,1.236403740766075,,
8,8,4,1024,64,3,72,1,1.2429038418134057,,
8,8,4,2048,2,3,104,1,1.2372523144723182,,
8,8,4,2048,4,3,104,1,1.2281855298187314,,
8,8,4,2048,8,3,104,1,1.2273874288979898,,
8,8,4,2048,16,3,104,1,1.2272809883059848,,
8,8,4,2048,32,3,104,1,1.2265814924843377,,
8,8,4,2048,64,3,104,1,1.2268812764079007,,
8,8,8,2048,8,2,104,1,1.3822191545442093,,
8,8,8,2048,16,2,104,1,1.3814113477068157,,
8,8,8,2048,32,2,104,1,1.3804510301027426,,
8,8,16,2048,8,2,104,1,1.3816977561794055,,
8,8,16,2048,16,2,104,1,1.3817383559182088,,
8,8,16,2048,32,2,104,1,1.3812477854353045,,
8,16,2,1024,2,2,104,1,1.2397941687244163,,
8,16,2,1024,4,2,104,1,1.2275364050229376,,
8,16,2,1024,8,2,104,1,1.224908462108472,,
8,16,2,1024,16,2,104,1,1.224286710658041,,
8,16,2,1024,32,2,104,1,1.2215037877993846,,
8,16,2,1024,64,3,104,1,1.227638164671126,,
8,16,4,1024,4,2,104,1,1.3780878693748029,,
8,16,4,1024,8,2,104,1,1.3769926070801515,,
8,16,4,1024,16,2,104,1,1.375797997573643,,
8,16,4,1024,32,2,104,1,1.3730877032623532,,
8,16,4,1024,64,2,104,1,1.3754000270680664,,
16,8,8,1024,2,2,112,1,1.1295760538381805,,
16,8,8,1024,4,2,112,1,1.124890099457845,,
16,8,8,1024,8,2,112,1,1.1242977387988575,,
16,8,8,1024,16,2,112,1,1.1231749059079412,,
16,8,8,1024,32,2,112,1,1.1231458230004892,,
16,8,8,1024,64,2,112,1,1.1217368143002426,,
16,8,16,1024,2,2,112,1,1.140129310299562,,
16,8,16,1024,4,2,112,1,1.1366514598947928,,
16,8,16,1024,8,2,112,1,1.1354145056750338,,
16,8,16,1024,16,2,112,1,1.1344354586785614,,
16,8,16,1024,32,2,112,1,1.1332807509210774,,
16,8,16,1024,64,2,112,1,1.1331288218125468,,
