Core Number,L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),BCE,平均(正規化)
16,8,4,1024,32,2,112,1.0015614434302933
16,8,4,1024,64,3,112,1.001781826041696
16,8,4,1024,16,2,112,1.0051981233723681
16,8,4,1024,8,2,112,1.0062619639244366
16,8,4,1024,4,2,112,1.017133300268804
16,8,4,1024,2,2,112,1.0183328537835574
16,8,2,1024,64,3,112,1.0203262300946843
16,8,2,1024,32,2,112,1.020483475044243
16,8,2,1024,16,2,112,1.023427708494765
16,8,2,1024,8,2,112,1.0247270690842571
16,8,2,1024,2,2,112,1.0355018738607094
16,8,2,1024,4,2,112,1.0359031126700389
